"Frequency (Hz)","|Z| (Ohm)","theta (deg)"
+1.47200000000e+005, +1.16990982651e+002, +5.01585545190e+001
+1.47275000000e+005, +1.23520222296e+002, +5.09992371971e+001
+1.47350000000e+005, +1.30345048185e+002, +5.17592585905e+001
+1.47425000000e+005, +1.37487025781e+002, +5.24386610634e+001
+1.47500000000e+005, +1.44955583429e+002, +5.30468037864e+001
+1.47575000000e+005, +1.52767420095e+002, +5.35865858783e+001
+1.47650000000e+005, +1.60943534111e+002, +5.40623727713e+001
+1.47725000000e+005, +1.69495357021e+002, +5.44783277012e+001
+1.47800000000e+005, +1.78465591334e+002, +5.48368572787e+001
+1.47875000000e+005, +1.87853454176e+002, +5.51416962653e+001
+1.47950000000e+005, +1.97698237288e+002, +5.53944234421e+001
+1.48025000000e+005, +2.08034031098e+002, +5.55921551937e+001
+1.48100000000e+005, +2.18893273733e+002, +5.57430699892e+001
+1.48175000000e+005, +2.30310692585e+002, +5.58446921155e+001
+1.48250000000e+005, +2.42306790407e+002, +5.58968186476e+001
+1.48325000000e+005, +2.54945554315e+002, +5.59021670494e+001
+1.48400000000e+005, +2.68265330716e+002, +5.58569034302e+001
+1.48475000000e+005, +2.82318176371e+002, +5.57654102896e+001
+1.48550000000e+005, +2.97166744259e+002, +5.56235991753e+001
+1.48625000000e+005, +3.12850703979e+002, +5.54283408073e+001
+1.48700000000e+005, +3.29460563924e+002, +5.51830232790e+001
+1.48775000000e+005, +3.47079556751e+002, +5.48799426634e+001
+1.48850000000e+005, +3.65769020601e+002, +5.45230116918e+001
+1.48925000000e+005, +3.85609209242e+002, +5.41072705574e+001
+1.49000000000e+005, +4.06757825561e+002, +5.36218757187e+001
+1.49075000000e+005, +4.29273806587e+002, +5.30749384638e+001
+1.49150000000e+005, +4.53298821059e+002, +5.24503688640e+001
+1.49225000000e+005, +4.78917204248e+002, +5.17524882924e+001
+1.49300000000e+005, +5.06376567382e+002, +5.09674642267e+001
+1.49375000000e+005, +5.35805694705e+002, +5.00927109835e+001
+1.49450000000e+005, +5.67347021300e+002, +4.91118223305e+001
+1.49525000000e+005, +6.01083691175e+002, +4.80268770400e+001
+1.49600000000e+005, +6.37393167406e+002, +4.68215346521e+001
+1.49675000000e+005, +6.76417309843e+002, +4.54811579550e+001
+1.49750000000e+005, +7.18387518328e+002, +4.39956082236e+001
+1.49825000000e+005, +7.63423462484e+002, +4.23467671673e+001
+1.49900000000e+005, +8.11784189958e+002, +4.05175939748e+001
+1.49975000000e+005, +8.63569348643e+002, +3.84885331165e+001
+1.50050000000e+005, +9.18863666082e+002, +3.62379606532e+001
+1.50125000000e+005, +9.77617904784e+002, +3.37457240462e+001
+1.50200000000e+005, +1.03962055822e+003, +3.09880912465e+001
+1.50275000000e+005, +1.10448896201e+003, +2.79416375155e+001
+1.50350000000e+005, +1.17135194969e+003, +2.45899632886e+001
