"Frequency (Hz)","|Z| (Ohm)","theta (deg)"
+7.06800000000e+004, +3.51683950476e+003, -8.20936297452e+001
+7.07900000000e+004, +3.32294736839e+003, -8.25950573466e+001
+7.09000000000e+004, +3.15058218193e+003, -8.30352277473e+001
+7.10100000000e+004, +2.99687325977e+003, -8.34276221957e+001
+7.11200000000e+004, +2.85851143668e+003, -8.37785287104e+001
+7.12300000000e+004, +2.73364473711e+003, -8.40926008958e+001
+7.13400000000e+004, +2.62030410193e+003, -8.43777620846e+001
+7.14500000000e+004, +2.51688339139e+003, -8.46368952462e+001
+7.15600000000e+004, +2.42226777425e+003, -8.48751812012e+001
+7.16700000000e+004, +2.33517374325e+003, -8.50865610594e+001
+7.17800000000e+004, +2.25506831382e+003, -8.52821519703e+001
+7.18900000000e+004, +2.18087419831e+003, -8.54635235603e+001
+7.20000000000e+004, +2.11214393074e+003, -8.56300529192e+001
